case_id,report_text,meeting_count,attendee_count
LA00011,"Social Impact Assessment Status — Highway Project, Maharashtra_District_1, Maharashtra

No formal Social Impact Assessment has been conducted for this project as of the latest administrative review. Community consultation status: not initiated. Under Section 4 of the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013, an SIA is a mandatory pre-requisite for acquisitions of this nature and scale. This file is flagged pending initiation of the consultation process.",0,0
LA00012,"Social Impact Assessment Status — Railway Project, Bihar_District_2, Bihar

No formal Social Impact Assessment has been conducted for this project as of the latest administrative review. Community consultation status: not initiated. Under Section 4 of the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013, an SIA is a mandatory pre-requisite for acquisitions of this nature and scale. This file is flagged pending initiation of the consultation process.",0,0
LA00013,"Social Impact Assessment Report — Industrial Corridor Project, Gujarat_District_4, Gujarat


Consultation process: 4 public consultation meetings were held at the block development office under the Gram Sabha / local body process required by the LARR Act, 2013. Approximately 8 persons attended across all sessions, against 4 families recorded as affected.

Attendance was high relative to the number of affected households, with participation from beyond the immediately affected families.

Objections at these sessions were raised principally by tenant cultivators and landowning farmers.

Nature of objections — procedural: the draft rehabilitation schedule was read aloud but not distributed in writing, which several attendees objected to.

Several speakers recalled assurances given during an earlier survey visit that were not honoured, and asked what guarantee distinguishes the present commitments.

Outcome: the Gram Sabha deferred its resolution, requesting a further sitting once written responses to the points above are furnished.",4,8
LA00014,"Social Impact Assessment Report — Highway Project, West Bengal_District_4, West Bengal


Consultation process: 3 public consultation meetings were held at the Gram Panchayat office under the Gram Sabha / local body process required by the LARR Act, 2013. Approximately 46 persons attended across all sessions, against 55 families recorded as affected.

Objections at these sessions were raised principally by local shopkeepers and traders and agricultural labourers.

Nature of objections — procedural: meeting notices were not circulated widely enough, and several hamlets say they learned of the session only afterwards.

Outcome: the Gram Sabha passed a resolution recording no objection to the acquisition proceeding to the next stage.",3,46
LA00015,"Social Impact Assessment Report — Mining Project, West Bengal_District_2, West Bengal


Consultation process: 2 public consultation meetings were held at the village community hall under the Gram Sabha / local body process required by the LARR Act, 2013. Approximately 182 persons attended across all sessions, against 234 families recorded as affected.

No material objection to the acquisition was recorded during the sessions; queries were limited to timelines and disbursement procedure.

The consultation noted that the village water tank falls inside the boundary, with no alternative source identified in the rehabilitation plan.

Outcome: the Gram Sabha passed a resolution recording no objection to the acquisition proceeding to the next stage.",2,182
LA00016,"Social Impact Assessment Report — Highway Project, Madhya Pradesh_District_2, Madhya Pradesh


Consultation process: 3 public consultation meetings were held at the Gram Panchayat office under the Gram Sabha / local body process required by the LARR Act, 2013. Approximately 8 persons attended across all sessions, against 7 families recorded as affected.

Attendance was high relative to the number of affected households, with participation from beyond the immediately affected families.

Objections at these sessions were raised principally by landowning farmers and tenant cultivators.

Nature of objections — substantive: a section of attendees questioned whether the stated public purpose justifies displacement at this scale, and asked for the project justification documents to be placed in the public domain.

Some attendees stated that they would approach the High Court if the award is declared without their objections being addressed in writing.

Outcome: the Gram Sabha deferred its resolution, requesting a further sitting once written responses to the points above are furnished.",3,8
LA00017,"Social Impact Assessment Report — Railway Project, Bihar_District_2, Bihar


Consultation process: 4 public consultation meetings were held at a temporary shamiana erected near the proposed site under the Gram Sabha / local body process required by the LARR Act, 2013. Approximately 8 persons attended across all sessions, against 66 families recorded as affected.

The consultation team notes that attendance represented a small share of the affected households, and that the sessions may not reflect the views of the wider affected population.

Objections at these sessions were raised principally by elected Panchayat members, agricultural labourers and tenant cultivators.

Nature of objections — procedural: the notice period fell short of what attendees expected, leaving little time to consult family members working outside the district.

Attendees identified a sacred grove within the proposed boundary and stated that its disturbance is not a matter for negotiation.

Outcome: the Gram Sabha declined to pass a resolution of consent, and recorded its objection to the acquisition as presently framed.",4,8
LA00018,"Social Impact Assessment Report — Urban Housing Project, Gujarat_District_4, Gujarat


Consultation process: 2 public consultation meetings were held at the block development office under the Gram Sabha / local body process required by the LARR Act, 2013. Approximately 18 persons attended across all sessions, against 63 families recorded as affected.

The consultation team notes that attendance represented a small share of the affected households, and that the sessions may not reflect the views of the wider affected population.

No material objection to the acquisition was recorded during the sessions; queries were limited to timelines and disbursement procedure.

Outcome: the Gram Sabha passed a resolution recording no objection to the acquisition proceeding to the next stage.",2,18
LA00019,"Social Impact Assessment Report — Industrial Corridor Project, West Bengal_District_2, West Bengal


Consultation process: 2 public consultation meetings were held at a temporary shamiana erected near the proposed site under the Gram Sabha / local body process required by the LARR Act, 2013. Approximately 45 persons attended across all sessions, against 105 families recorded as affected.

No material objection to the acquisition was recorded during the sessions; queries were limited to timelines and disbursement procedure.

Objection was recorded to the inclusion of a community burial ground within the boundary, which attendees said cannot be relocated on any terms.

Outcome: the Gram Sabha passed a resolution recording no objection to the acquisition proceeding to the next stage.",2,45
LA00020,"Social Impact Assessment Report — Irrigation Project, Karnataka_District_2, Karnataka


Consultation process: 4 public consultation meetings were held at the local primary school premises under the Gram Sabha / local body process required by the LARR Act, 2013. Approximately 8 persons attended across all sessions, against 86 families recorded as affected.

The consultation team notes that attendance represented a small share of the affected households, and that the sessions may not reflect the views of the wider affected population.

Objections at these sessions were raised principally by agricultural labourers.

Nature of objections — procedural: the notice period fell short of what attendees expected, leaving little time to consult family members working outside the district.

The consultation noted that the village water tank falls inside the boundary, with no alternative source identified in the rehabilitation plan.

Outcome: the Gram Sabha passed a resolution recording no objection to the acquisition proceeding to the next stage.",4,8
LA00021,"Social Impact Assessment Report — Highway Project, Madhya Pradesh_District_2, Madhya Pradesh


Consultation process: 3 public consultation meetings were held at the village community hall under the Gram Sabha / local body process required by the LARR Act, 2013. Approximately 9 persons attended across all sessions, against 15 families recorded as affected.

Objections at these sessions were raised principally by representatives of the Scheduled Tribe community, local shopkeepers and traders and landowning farmers.

Nature of objections — procedural: the notice period fell short of what attendees expected, leaving little time to consult family members working outside the district.

Speakers warned of an indefinite dharna at the site office if the process continues without a further hearing.

Outcome: the Gram Sabha deferred its resolution, requesting a further sitting once written responses to the points above are furnished.",3,9
LA00022,"Social Impact Assessment Report — Highway Project, Gujarat_District_4, Gujarat


Consultation process: 3 public consultation meetings were held at a temporary shamiana erected near the proposed site under the Gram Sabha / local body process required by the LARR Act, 2013. Approximately 18 persons attended across all sessions, against 32 families recorded as affected.

No material objection to the acquisition was recorded during the sessions; queries were limited to timelines and disbursement procedure.

Outcome: the Gram Sabha passed a resolution recording no objection to the acquisition proceeding to the next stage.",3,18
LA00023,"Social Impact Assessment Report — Mining Project, West Bengal_District_2, West Bengal


Consultation process: 4 public consultation meetings were held at the block development office under the Gram Sabha / local body process required by the LARR Act, 2013. Approximately 8 persons attended across all sessions, against 10 families recorded as affected.

Objections at these sessions were raised principally by agricultural labourers, tenant cultivators and landowning farmers.

Nature of objections — procedural: attendees asked why the survey map displayed at the meeting differed from the one circulated earlier.

Outcome: the Gram Sabha deferred its resolution, requesting a further sitting once written responses to the points above are furnished.",4,8
LA00024,"Social Impact Assessment Report — Highway Project, Punjab_District_4, Punjab


Consultation process: 3 public consultation meetings were held at the village community hall under the Gram Sabha / local body process required by the LARR Act, 2013. Approximately 77 persons attended across all sessions, against 69 families recorded as affected.

Attendance was high relative to the number of affected households, with participation from beyond the immediately affected families.

Objections at these sessions were raised principally by landowning farmers.

Nature of objections — substantive: objections were raised to the acquisition in principle, not to its terms, with attendees stating that no compensation figure would be acceptable.

The consultation team noted visible distrust rooted in a prior project in the same block, where promised employment did not materialise.

The assembly recorded that the parcel includes common grazing land used by households who own no land in the acquisition area and would therefore receive no compensation.

Speakers warned of an indefinite dharna at the site office if the process continues without a further hearing.

Outcome: the Gram Sabha passed a resolution recording no objection to the acquisition proceeding to the next stage.",3,77
LA00025,"Social Impact Assessment Status — Highway Project, Gujarat_District_3, Gujarat

No formal Social Impact Assessment has been conducted for this project as of the latest administrative review. Community consultation status: not initiated. Under Section 4 of the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013, an SIA is a mandatory pre-requisite for acquisitions of this nature and scale. This file is flagged pending initiation of the consultation process.",0,0
LA00026,"Social Impact Assessment Status — Highway Project, Maharashtra_District_1, Maharashtra

No formal Social Impact Assessment has been conducted for this project as of the latest administrative review. Community consultation status: not initiated. Under Section 4 of the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013, an SIA is a mandatory pre-requisite for acquisitions of this nature and scale. This file is flagged pending initiation of the consultation process.",0,0
LA00027,"Social Impact Assessment Report — Highway Project, Karnataka_District_3, Karnataka


Consultation process: 2 public consultation meetings were held at the block development office under the Gram Sabha / local body process required by the LARR Act, 2013. Approximately 41 persons attended across all sessions, against 57 families recorded as affected.

Objections at these sessions were raised principally by landowning farmers.

Nature of objections — substantive: the assembly contested the classification of the land in the revenue record, which the acquiring authority has relied on to determine compensation.

Attendees raised the loss of access to the minor irrigation channel that supports the second cropping season for land beyond the acquisition boundary.

Speakers warned of an indefinite dharna at the site office if the process continues without a further hearing.

Outcome: the Gram Sabha deferred its resolution, requesting a further sitting once written responses to the points above are furnished.",2,41
LA00028,"Social Impact Assessment Report — Mining Project, Rajasthan_District_2, Rajasthan


Consultation process: 4 public consultation meetings were held at a temporary shamiana erected near the proposed site under the Gram Sabha / local body process required by the LARR Act, 2013. Approximately 8 persons attended across all sessions, against 3 families recorded as affected.

Attendance was high relative to the number of affected households, with participation from beyond the immediately affected families.

Objections at these sessions were raised principally by agricultural labourers, representatives of the Scheduled Tribe community and tenant cultivators.

Nature of objections — procedural: the draft rehabilitation schedule was read aloud but not distributed in writing, which several attendees objected to.

Speakers warned of an indefinite dharna at the site office if the process continues without a further hearing.

Outcome: the Gram Sabha declined to pass a resolution of consent, and recorded its objection to the acquisition as presently framed.",4,8
LA00029,"Social Impact Assessment Status — Mining Project, Karnataka_District_3, Karnataka

No formal Social Impact Assessment has been conducted for this project as of the latest administrative review. Community consultation status: not initiated. Under Section 4 of the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013, an SIA is a mandatory pre-requisite for acquisitions of this nature and scale. This file is flagged pending initiation of the consultation process.",0,0
LA00030,"Social Impact Assessment Status — Industrial Corridor Project, Gujarat_District_1, Gujarat

No formal Social Impact Assessment has been conducted for this project as of the latest administrative review. Community consultation status: not initiated. Under Section 4 of the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013, an SIA is a mandatory pre-requisite for acquisitions of this nature and scale. This file is flagged pending initiation of the consultation process.",0,0
LA00031,"Social Impact Assessment Report — Railway Project, Uttar Pradesh_District_4, Uttar Pradesh


Consultation process: 4 public consultation meetings were held at the village community hall under the Gram Sabha / local body process required by the LARR Act, 2013. Approximately 8 persons attended across all sessions, against 14 families recorded as affected.

No material objection to the acquisition was recorded during the sessions; queries were limited to timelines and disbursement procedure.

Outcome: the Gram Sabha passed a resolution recording no objection to the acquisition proceeding to the next stage.",4,8
LA00032,"Social Impact Assessment Status — Urban Housing Project, Madhya Pradesh_District_4, Madhya Pradesh

No formal Social Impact Assessment has been conducted for this project as of the latest administrative review. Community consultation status: not initiated. Under Section 4 of the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013, an SIA is a mandatory pre-requisite for acquisitions of this nature and scale. This file is flagged pending initiation of the consultation process.",0,0
LA00033,"Social Impact Assessment Status — Mining Project, West Bengal_District_4, West Bengal

No formal Social Impact Assessment has been conducted for this project as of the latest administrative review. Community consultation status: not initiated. Under Section 4 of the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013, an SIA is a mandatory pre-requisite for acquisitions of this nature and scale. This file is flagged pending initiation of the consultation process.",0,0
LA00034,"Social Impact Assessment Report — Industrial Corridor Project, Rajasthan_District_1, Rajasthan


Consultation process: 2 public consultation meetings were held at the local primary school premises under the Gram Sabha / local body process required by the LARR Act, 2013. Approximately 13 persons attended across all sessions, against 55 families recorded as affected.

The consultation team notes that attendance represented a small share of the affected households, and that the sessions may not reflect the views of the wider affected population.

Objections at these sessions were raised principally by landowning farmers and representatives of the Scheduled Tribe community.

Nature of objections — procedural: the notice period fell short of what attendees expected, leaving little time to consult family members working outside the district.

Several speakers recalled assurances given during an earlier survey visit that were not honoured, and asked what guarantee distinguishes the present commitments.

Objection was recorded to the inclusion of a community burial ground within the boundary, which attendees said cannot be relocated on any terms.

Outcome: the Gram Sabha declined to pass a resolution of consent, and recorded its objection to the acquisition as presently framed.",2,13
LA00035,"Social Impact Assessment Status — Power Plant Project, Rajasthan_District_3, Rajasthan

No formal Social Impact Assessment has been conducted for this project as of the latest administrative review. Community consultation status: not initiated. Under Section 4 of the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013, an SIA is a mandatory pre-requisite for acquisitions of this nature and scale. This file is flagged pending initiation of the consultation process.",0,0
LA00036,"Social Impact Assessment Report — Highway Project, Gujarat_District_1, Gujarat


Consultation process: 3 public consultation meetings were held at the village community hall under the Gram Sabha / local body process required by the LARR Act, 2013. Approximately 62 persons attended across all sessions, against 61 families recorded as affected.

Attendance was high relative to the number of affected households, with participation from beyond the immediately affected families.

No material objection to the acquisition was recorded during the sessions; queries were limited to timelines and disbursement procedure.

Outcome: the Gram Sabha deferred its resolution, requesting a further sitting once written responses to the points above are furnished.",3,62
LA00037,"Social Impact Assessment Report — Railway Project, Maharashtra_District_3, Maharashtra


Consultation process: 3 public consultation meetings were held at a temporary shamiana erected near the proposed site under the Gram Sabha / local body process required by the LARR Act, 2013. Approximately 9 persons attended across all sessions, against 24 families recorded as affected.

Objections at these sessions were raised principally by landowning farmers, the local women's self-help group and elected Panchayat members.

Nature of objections — procedural: the draft rehabilitation schedule was read aloud but not distributed in writing, which several attendees objected to.

Attendees identified a sacred grove within the proposed boundary and stated that its disturbance is not a matter for negotiation.

Outcome: the Gram Sabha deferred its resolution, requesting a further sitting once written responses to the points above are furnished.",3,9
LA00038,"Social Impact Assessment Report — Mining Project, Maharashtra_District_1, Maharashtra


Consultation process: 2 public consultation meetings were held at a temporary shamiana erected near the proposed site under the Gram Sabha / local body process required by the LARR Act, 2013. Approximately 8 persons attended across all sessions, against 5 families recorded as affected.

Attendance was high relative to the number of affected households, with participation from beyond the immediately affected families.

No material objection to the acquisition was recorded during the sessions; queries were limited to timelines and disbursement procedure.

Outcome: the Gram Sabha passed a resolution recording no objection to the acquisition proceeding to the next stage.",2,8
LA00039,"Social Impact Assessment Status — Industrial Corridor Project, Uttar Pradesh_District_3, Uttar Pradesh

No formal Social Impact Assessment has been conducted for this project as of the latest administrative review. Community consultation status: not initiated. Under Section 4 of the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013, an SIA is a mandatory pre-requisite for acquisitions of this nature and scale. This file is flagged pending initiation of the consultation process.",0,0
LA00040,"Social Impact Assessment Status — Mining Project, Uttar Pradesh_District_2, Uttar Pradesh

No formal Social Impact Assessment has been conducted for this project as of the latest administrative review. Community consultation status: not initiated. Under Section 4 of the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013, an SIA is a mandatory pre-requisite for acquisitions of this nature and scale. This file is flagged pending initiation of the consultation process.",0,0
LA00041,"Social Impact Assessment Report — Industrial Corridor Project, Maharashtra_District_3, Maharashtra


Consultation process: 3 public consultation meetings were held at the Gram Panchayat office under the Gram Sabha / local body process required by the LARR Act, 2013. Approximately 10 persons attended across all sessions, against 15 families recorded as affected.

Objections at these sessions were raised principally by elected Panchayat members.

Nature of objections — substantive: the assembly contested the classification of the land in the revenue record, which the acquiring authority has relied on to determine compensation.

The assembly recorded that the parcel includes common grazing land used by households who own no land in the acquisition area and would therefore receive no compensation.

Speakers warned of an indefinite dharna at the site office if the process continues without a further hearing.

Outcome: the Gram Sabha declined to pass a resolution of consent, and recorded its objection to the acquisition as presently framed.",3,10
LA00042,"Social Impact Assessment Report — Mining Project, Bihar_District_4, Bihar


Consultation process: 3 public consultation meetings were held at the village community hall under the Gram Sabha / local body process required by the LARR Act, 2013. Approximately 231 persons attended across all sessions, against 493 families recorded as affected.

No material objection to the acquisition was recorded during the sessions; queries were limited to timelines and disbursement procedure.

Several speakers recalled assurances given during an earlier survey visit that were not honoured, and asked what guarantee distinguishes the present commitments.

Outcome: the Gram Sabha passed a resolution recording no objection to the acquisition proceeding to the next stage.",3,231
LA00043,"Social Impact Assessment Report — Highway Project, West Bengal_District_2, West Bengal


Consultation process: 4 public consultation meetings were held at the local primary school premises under the Gram Sabha / local body process required by the LARR Act, 2013. Approximately 31 persons attended across all sessions, against 46 families recorded as affected.

No material objection to the acquisition was recorded during the sessions; queries were limited to timelines and disbursement procedure.

The consultation noted that the village water tank falls inside the boundary, with no alternative source identified in the rehabilitation plan.

Outcome: the Gram Sabha deferred its resolution, requesting a further sitting once written responses to the points above are furnished.",4,31
LA00044,"Social Impact Assessment Status — Irrigation Project, Rajasthan_District_2, Rajasthan

No formal Social Impact Assessment has been conducted for this project as of the latest administrative review. Community consultation status: not initiated. Under Section 4 of the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013, an SIA is a mandatory pre-requisite for acquisitions of this nature and scale. This file is flagged pending initiation of the consultation process.",0,0
LA00045,"Social Impact Assessment Report — Mining Project, Odisha_District_4, Odisha


Consultation process: 4 public consultation meetings were held at a temporary shamiana erected near the proposed site under the Gram Sabha / local body process required by the LARR Act, 2013. Approximately 26 persons attended across all sessions, against 71 families recorded as affected.

Objections at these sessions were raised principally by landowning farmers.

Nature of objections — procedural: the notice period fell short of what attendees expected, leaving little time to consult family members working outside the district.

The consultation team noted visible distrust rooted in a prior project in the same block, where promised employment did not materialise.

Speakers warned of an indefinite dharna at the site office if the process continues without a further hearing.

Outcome: the Gram Sabha passed a resolution recording no objection to the acquisition proceeding to the next stage.",4,26
LA00046,"Social Impact Assessment Status — Highway Project, Uttar Pradesh_District_3, Uttar Pradesh

No formal Social Impact Assessment has been conducted for this project as of the latest administrative review. Community consultation status: not initiated. Under Section 4 of the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013, an SIA is a mandatory pre-requisite for acquisitions of this nature and scale. This file is flagged pending initiation of the consultation process.",0,0
LA00047,"Social Impact Assessment Status — Urban Housing Project, Uttar Pradesh_District_1, Uttar Pradesh

No formal Social Impact Assessment has been conducted for this project as of the latest administrative review. Community consultation status: not initiated. Under Section 4 of the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013, an SIA is a mandatory pre-requisite for acquisitions of this nature and scale. This file is flagged pending initiation of the consultation process.",0,0
LA00048,"Social Impact Assessment Status — Urban Housing Project, Rajasthan_District_3, Rajasthan

No formal Social Impact Assessment has been conducted for this project as of the latest administrative review. Community consultation status: not initiated. Under Section 4 of the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013, an SIA is a mandatory pre-requisite for acquisitions of this nature and scale. This file is flagged pending initiation of the consultation process.",0,0
LA00049,"Social Impact Assessment Report — Urban Housing Project, Gujarat_District_3, Gujarat


Consultation process: 4 public consultation meetings were held at the village community hall under the Gram Sabha / local body process required by the LARR Act, 2013. Approximately 27 persons attended across all sessions, against 54 families recorded as affected.

Objections at these sessions were raised principally by tenant cultivators and landowning farmers.

Nature of objections — substantive: several families disputed the necessity of the alignment itself, arguing an alternative route would avoid settled habitation entirely.

Some attendees stated that they would approach the High Court if the award is declared without their objections being addressed in writing.

Outcome: the Gram Sabha declined to pass a resolution of consent, and recorded its objection to the acquisition as presently framed.",4,27
LA00050,"Social Impact Assessment Status — Urban Housing Project, Uttar Pradesh_District_4, Uttar Pradesh

No formal Social Impact Assessment has been conducted for this project as of the latest administrative review. Community consultation status: not initiated. Under Section 4 of the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013, an SIA is a mandatory pre-requisite for acquisitions of this nature and scale. This file is flagged pending initiation of the consultation process.",0,0
LA00051,"Social Impact Assessment Status — Railway Project, West Bengal_District_4, West Bengal

No formal Social Impact Assessment has been conducted for this project as of the latest administrative review. Community consultation status: not initiated. Under Section 4 of the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013, an SIA is a mandatory pre-requisite for acquisitions of this nature and scale. This file is flagged pending initiation of the consultation process.",0,0
LA00052,"Social Impact Assessment Status — Highway Project, Madhya Pradesh_District_2, Madhya Pradesh

No formal Social Impact Assessment has been conducted for this project as of the latest administrative review. Community consultation status: not initiated. Under Section 4 of the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013, an SIA is a mandatory pre-requisite for acquisitions of this nature and scale. This file is flagged pending initiation of the consultation process.",0,0
LA00053,"Social Impact Assessment Report — Power Plant Project, West Bengal_District_3, West Bengal


Consultation process: 3 public consultation meetings were held at the block development office under the Gram Sabha / local body process required by the LARR Act, 2013. Approximately 31 persons attended across all sessions, against 65 families recorded as affected.

No material objection to the acquisition was recorded during the sessions; queries were limited to timelines and disbursement procedure.

The consultation noted that the village water tank falls inside the boundary, with no alternative source identified in the rehabilitation plan.

Outcome: the Gram Sabha passed a resolution recording no objection to the acquisition proceeding to the next stage.",3,31
LA00054,"Social Impact Assessment Status — Highway Project, Uttar Pradesh_District_1, Uttar Pradesh

No formal Social Impact Assessment has been conducted for this project as of the latest administrative review. Community consultation status: not initiated. Under Section 4 of the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013, an SIA is a mandatory pre-requisite for acquisitions of this nature and scale. This file is flagged pending initiation of the consultation process.",0,0
LA00055,"Social Impact Assessment Report — Power Plant Project, Gujarat_District_1, Gujarat


Consultation process: 3 public consultation meetings were held at the block development office under the Gram Sabha / local body process required by the LARR Act, 2013. Approximately 8 persons attended across all sessions, against 9 families recorded as affected.

Objections at these sessions were raised principally by representatives of the Scheduled Tribe community and tenant cultivators.

Nature of objections — procedural: the draft rehabilitation schedule was read aloud but not distributed in writing, which several attendees objected to.

Outcome: the Gram Sabha deferred its resolution, requesting a further sitting once written responses to the points above are furnished.",3,8
LA00056,"Social Impact Assessment Report — Irrigation Project, Madhya Pradesh_District_1, Madhya Pradesh


Consultation process: 2 public consultation meetings were held at a temporary shamiana erected near the proposed site under the Gram Sabha / local body process required by the LARR Act, 2013. Approximately 9 persons attended across all sessions, against 17 families recorded as affected.

No material objection to the acquisition was recorded during the sessions; queries were limited to timelines and disbursement procedure.

The consultation noted that the village water tank falls inside the boundary, with no alternative source identified in the rehabilitation plan.

Outcome: the Gram Sabha passed a resolution recording no objection to the acquisition proceeding to the next stage.",2,9
LA00057,"Social Impact Assessment Status — Railway Project, Bihar_District_4, Bihar

No formal Social Impact Assessment has been conducted for this project as of the latest administrative review. Community consultation status: not initiated. Under Section 4 of the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013, an SIA is a mandatory pre-requisite for acquisitions of this nature and scale. This file is flagged pending initiation of the consultation process.",0,0
